"id","female","age","demcand","educ","ftobama","liberal","candideol","candgen"
1051,0,31,3,6,71,5,63,0
1052,1,45,3,5,100,5,63,0
1053,1,29,3,5,91,4,63,0
1054,0,27,3,3,3,5,63,0
1057,1,62,3,2,0,3,63,0
1060,0,24,3,2,62,4,63,0
1061,1,29,3,3,100,4,63,0
1062,1,37,3,2,54,2,63,0
1064,1,48,3,5,20,2,63,0
1065,1,26,3,2,44,4,63,0
1066,1,22,3,2,100,5,63,0
1067,1,28,3,3,30,4,63,0
1068,0,31,1,4,98,3,53,1
1069,1,29,3,3,85,4,63,0
1070,1,30,1,6,88,5,53,1
1071,0,39,3,5,14,3,63,0
1077,1,27,3,5,47,3,63,0
1078,1,28,3,3,63,4,63,0
1081,0,25,1,3,60,3,53,1
1082,1,62,3,3,90,3,63,0
1083,1,25,3,2,20,3,63,0
1084,0,30,3,5,30,3,63,0
1085,0,27,1,4,17,4,53,1
1086,0,31,3,5,0,3,63,0
1087,0,23,3,3,81,5,63,0
1088,0,19,3,1,84,4,63,0
1089,1,25,1,5,70,4,53,1
1090,0,37,1,6,69,4,53,1
1091,1,34,1,5,87,4,53,1
1092,1,30,1,5,100,4,53,1
1093,0,30,1,3,73,4,53,1
1094,1,20,3,4,92,4,63,0
1095,0,51,1,2,100,4,53,1
1096,1,58,3,1,60,4,63,0
1097,0,34,3,3,75,4,63,0
1099,1,60,1,1,100,3,53,1
1100,0,27,1,4,77,5,53,1
1101,1,20,1,2,53,4,53,1
1103,0,33,1,2,99,3,53,1
1106,0,20,1,2,90,4,53,1
1107,1,35,1,3,38,2,53,1
1109,0,45,1,2,85,4,53,1
1110,0,56,1,5,91,4,53,1
1111,0,53,2,2,3,3,25,0
1112,0,27,3,5,17,3,63,0
1113,0,31,3,3,83,4,63,0
1114,0,25,1,2,85,4,53,1
1115,0,46,3,3,81,5,63,0
1118,1,54,3,3,6,2,63,0
1120,1,51,3,4,1,3,63,0
1124,1,40,1,6,79,4,53,1
1125,1,92,1,2,90,4,53,1
1126,1,63,3,3,100,5,63,0
1127,0,22,1,3,91,5,53,1
1129,0,38,3,3,85,5,63,0
1130,1,26,1,2,100,4,53,1
1131,0,22,1,2,87,5,53,1
1134,0,25,3,5,71,4,63,0
1135,1,24,1,5,64,3,53,1
1137,0,34,3,2,93,3,63,0
1140,0,32,3,5,2,1,63,0
1142,0,63,1,6,94,4,53,1
1145,0,34,1,6,77,4,53,1
1148,0,38,3,2,81,3,63,0
1150,0,81,1,3,3,5,53,1
1151,1,27,3,3,11,4,63,0
1153,0,24,3,5,66,4,63,0
1154,1,55,3,5,4,2,63,0
1155,1,30,1,6,100,4,53,1
1156,1,26,1,2,78,5,53,1
1157,0,43,1,3,95,3,53,1
1158,1,26,3,5,90,4,63,0
1161,1,41,3,1,36,3,63,0
1164,1,27,3,3,99,5,63,0
1165,1,19,3,1,88,4,63,0
1166,1,27,3,2,35,3,63,0
1167,1,31,3,2,29,2,63,0
1168,0,53,2,4,70,3,25,0
1169,1,55,1,1,100,4,53,1
1170,1,40,1,4,37,4,53,1
1171,0,19,3,1,70,3,63,0
1172,0,50,2,5,90,3,25,0
1173,1,31,1,6,40,2,53,1
1175,1,49,3,4,94,5,63,0
1176,1,41,1,5,100,3,53,1
1178,1,46,1,2,100,4,53,1
1179,0,61,1,2,82,3,53,1
1180,1,59,1,1,79,4,53,1
1182,1,36,1,1,66,4,53,1
1183,1,21,1,3,51,3,53,1
1185,0,26,3,5,73,4,63,0
1186,0,43,1,2,70,3,53,1
1187,0,37,3,2,15,3,63,0
1188,1,59,3,2,1,3,63,0
1189,0,46,2,1,15,3,25,0
1190,0,35,3,2,75,5,63,0
1191,0,64,3,6,94,5,63,0
1193,1,63,3,3,41,3,63,0
1194,0,28,1,5,98,2,53,1
1195,0,31,3,2,51,2,63,0
1196,1,39,1,6,96,2,53,1
1197,1,58,1,2,17,3,53,1
1198,0,22,3,3,71,5,63,0
1199,0,39,1,2,68,3,53,1
