"mig_exp_revcod","emp","mig_visas","democrat","republican","white","black","hispanic","unemp_cpm","edu","female","inc","age"
7,1,2,1,0,1,0,0,0,5,0,11,44
4,0,1,0,0,1,0,0,0,6,0,7,35
1,1,4,0,0,1,0,0,1,5,1,13,48
4,1,5,0,1,1,0,0,0,5,1,9,18
6,1,2,0,0,1,0,0,0,4,0,5,32
4,0,1,1,0,0,0,0,0,6,1,12,34
6,0,2,1,0,1,0,0,0,4,1,3,62
6,1,5,0,1,0,1,0,0,5,0,13,60
5,0,3,1,0,0,0,0,0,5,1,4,41
5,1,2,0,1,1,0,0,0,5,0,6,37
6,1,2,1,0,1,0,0,0,2,1,3,65
7,0,1,1,0,1,0,0,0,5,1,13,69
4,1,3,1,0,1,0,0,0,3,1,3,64
2,0,4,0,1,0,0,0,0,1,0,6,34
1,1,5,0,0,1,0,0,0,5,0,13,63
5,1,3,0,1,1,0,0,0,5,0,5,36
4,1,4,1,0,1,0,0,0,4,1,8,61
7,0,2,1,0,0,1,0,0,2,0,6,43
2,0,4,0,1,1,0,0,0,2,1,1,46
4,0,5,0,1,1,0,0,0,2,1,4,65
5,1,3,0,0,1,0,0,0,4,1,6,46
4,1,3,1,0,1,0,0,0,5,1,11,39
7,1,2,0,0,1,0,0,0,4,1,4,30
4,0,4,0,1,1,0,0,0,5,1,10,61
4,0,5,0,0,1,0,0,0,4,1,2,55
2,1,5,1,0,1,0,0,0,4,1,8,61
7,0,3,0,0,1,0,0,0,2,1,3,69
6,0,2,0,0,1,0,0,0,5,1,3,37
2,0,3,1,0,0,0,0,0,3,0,5,35
3,0,2,0,1,1,0,0,0,5,1,8,34
6,1,2,0,0,1,0,0,1,3,1,6,43
3,0,4,0,0,1,0,0,0,4,1,1,42
6,1,4,0,0,1,0,0,0,5,1,6,24
6,0,2,0,0,1,0,0,0,2,1,2,29
7,1,1,1,0,1,0,0,0,5,1,9,38
7,1,1,1,0,1,0,0,0,4,0,3,36
1,0,5,0,1,0,0,0,0,3,1,13,56
3,0,3,0,1,1,0,0,0,2,1,5,27
4,0,3,0,0,0,0,0,0,5,1,5,33
4,1,3,0,1,1,0,0,0,2,1,1,57
6,0,1,0,1,1,0,0,0,2,0,3,42
7,0,1,1,0,1,0,0,0,5,0,8,70
7,0,1,1,0,1,0,0,0,5,1,2,67
7,1,3,1,0,0,1,0,0,3,1,5,39
6,0,3,1,0,0,1,0,0,4,0,7,66
7,1,4,0,1,1,0,0,0,6,1,11,30
4,1,4,0,1,1,0,0,0,6,1,13,34
7,1,4,0,0,1,0,0,0,3,1,11,30
5,1,3,1,0,1,0,0,0,5,1,3,55
6,0,2,1,0,0,1,0,0,2,1,11,20
4,1,4,0,0,1,0,0,0,3,1,3,43
7,0,1,1,0,1,0,0,0,5,1,3,59
6,0,1,1,0,1,0,0,0,5,1,13,58
7,0,2,0,0,0,0,1,0,3,1,5,39
4,0,3,0,0,1,0,0,0,4,0,6,37
7,0,3,1,0,0,0,0,0,3,1,10,66
6,1,1,1,0,1,0,0,0,5,1,12,44
4,0,5,0,1,1,0,0,0,4,1,8,42
6,0,1,1,0,1,0,0,0,2,1,10,17
4,0,5,0,0,1,0,0,0,4,1,4,43
5,0,4,0,1,1,0,0,0,2,1,3,49
6,1,2,0,1,1,0,0,0,5,1,5,22
6,0,4,0,1,1,0,0,0,5,1,10,40
2,0,4,0,1,1,0,0,0,3,1,4,18
6,0,5,1,0,1,0,0,0,4,0,11,66
3,1,5,0,1,1,0,0,0,3,1,6,44
4,0,3,0,0,1,0,0,0,5,0,12,71
7,0,3,1,0,0,1,0,0,4,1,2,55
4,0,4,0,0,1,0,0,0,4,1,2,29
4,1,3,1,0,0,1,0,0,4,1,4,43
6,1,2,0,0,1,0,0,0,3,1,3,36
7,0,1,1,0,1,0,0,0,4,1,7,59
3,0,5,0,1,1,0,0,0,2,1,3,65
5,1,3,0,1,1,0,0,0,6,1,11,42
7,1,2,1,0,0,1,0,0,3,1,7,66
5,0,3,0,1,0,0,1,0,2,0,4,19
5,0,4,0,0,1,0,0,0,2,1,3,34
7,0,1,1,0,0,0,0,0,2,0,6,20
5,0,3,0,0,1,0,0,0,4,0,2,65
1,0,5,1,0,1,0,0,0,3,1,3,50
6,0,3,0,0,1,0,0,0,2,1,4,70
6,0,3,0,0,1,0,0,0,3,1,4,54
5,1,2,0,0,1,0,0,0,2,0,5,37
7,0,1,0,0,0,0,0,0,6,1,7,32
7,0,3,1,0,1,0,0,0,5,1,1,49
5,0,2,1,0,0,1,0,0,2,1,1,54
6,1,3,0,1,1,0,0,0,5,1,8,26
6,0,2,0,1,1,0,0,0,2,1,6,69
6,0,3,0,1,1,0,0,0,6,0,13,62
4,0,3,0,1,1,0,0,0,3,1,4,36
7,0,1,0,1,0,0,1,0,2,0,3,52
5,0,3,0,1,0,0,0,0,6,0,6,57
1,0,3,0,0,1,0,0,0,4,0,2,44
2,1,3,0,0,0,0,0,0,6,1,13,18
4,1,1,1,0,0,0,0,0,2,1,6,25
4,0,2,0,1,1,0,0,0,3,1,3,63
6,0,3,1,0,1,0,0,0,3,0,2,66
6,1,2,1,0,1,0,0,0,6,1,13,41
4,1,3,0,0,0,1,0,0,2,1,3,47
1,0,5,0,1,1,0,0,0,2,1,3,44
4,1,3,0,1,1,0,0,0,4,1,6,54
4,0,5,0,1,1,0,0,0,4,0,2,44
1,1,5,1,0,1,0,0,0,2,0,7,39
7,0,2,1,0,1,0,0,0,3,0,6,50
2,0,4,0,1,1,0,0,0,3,1,7,56
1,1,3,1,0,1,0,0,0,3,0,2,29
5,0,5,0,1,1,0,0,0,4,0,9,67
6,1,4,0,1,1,0,0,1,5,1,9,42
6,0,1,1,0,1,0,0,0,3,1,8,25
7,0,1,0,0,1,0,0,0,1,1,7,83
6,0,4,0,1,1,0,0,0,3,0,4,69
4,0,2,0,0,0,0,0,0,3,1,4,73
7,0,2,1,0,0,1,0,0,3,1,7,21
6,0,2,1,0,0,0,0,0,5,0,12,34
1,1,5,0,0,0,0,1,0,5,0,10,24
7,1,3,1,0,0,1,0,0,3,1,5,43
4,1,4,0,0,1,0,0,0,2,0,3,40
4,1,4,0,1,1,0,0,0,4,0,11,42
5,1,4,0,0,1,0,0,0,4,1,8,35
1,0,5,0,1,1,0,0,0,3,0,4,42
5,1,2,0,0,1,0,0,0,2,0,7,37
7,0,2,1,0,0,1,0,0,2,1,3,49
4,1,2,1,0,1,0,0,0,5,1,11,28
7,1,1,1,0,1,0,0,0,3,1,6,33
7,0,1,1,0,1,0,0,0,6,1,13,71
1,0,5,1,0,1,0,0,0,2,0,4,71
4,0,5,0,0,1,0,0,0,2,1,1,61
3,0,5,0,1,1,0,0,0,4,1,13,59
6,0,2,1,0,1,0,0,0,2,1,2,71
6,0,1,0,0,1,0,0,0,4,0,4,47
6,1,3,1,0,0,1,0,0,2,0,2,54
5,0,3,1,0,1,0,0,0,6,0,5,65
6,1,2,1,0,0,0,0,0,6,0,11,45
6,1,2,1,0,0,0,1,0,5,0,3,42
