"mig_exp_revcod","emp","mig_visas","democrat","republican","white","black","hispanic","unemp_cpm","edu","female","inc","age"
7,1,1,1,0,0,0,1,0,4,1,3,33
4,0,5,0,0,1,0,0,0,4,1,3,70
7,0,1,0,0,1,0,0,0,3,0,3,29
6,1,2,0,1,1,0,0,0,5,1,4,26
4,1,3,0,0,1,0,0,0,5,1,8,41
4,0,4,1,0,1,0,0,0,2,0,2,72
6,1,2,1,0,0,0,0,0,4,1,2,68
5,1,4,0,1,1,0,0,0,4,1,4,60
6,1,4,0,0,1,0,0,0,2,1,6,47
7,0,2,0,0,0,1,0,0,4,1,10,20
7,0,3,0,0,0,0,0,0,2,1,10,29
5,0,2,0,1,1,0,0,0,5,0,11,72
4,0,3,0,0,0,1,0,0,2,1,1,23
5,1,5,1,0,1,0,0,0,2,1,3,23
4,0,3,1,0,1,0,0,0,2,1,3,77
4,0,3,0,0,1,0,0,0,1,1,3,35
4,1,2,0,0,1,0,0,0,5,0,5,57
7,0,1,1,0,1,0,0,0,4,1,5,63
7,0,3,1,0,1,0,0,0,5,1,2,71
4,0,5,0,0,1,0,0,0,2,1,11,62
3,1,5,0,1,1,0,0,0,2,0,5,80
4,0,1,1,0,1,0,0,0,4,0,10,71
6,1,3,0,0,1,0,0,0,5,1,8,63
5,1,3,0,0,1,0,0,0,6,0,12,24
4,0,4,1,0,1,0,0,0,2,1,3,49
4,1,4,0,0,1,0,0,0,3,1,6,26
7,1,1,0,1,1,0,0,1,5,0,12,41
5,1,3,0,0,0,1,0,0,5,0,11,47
7,1,3,1,0,1,0,0,0,5,0,4,44
3,0,5,0,1,1,0,0,0,4,1,3,19
5,0,2,1,0,1,0,0,0,5,1,2,43
6,0,1,0,0,0,1,0,0,3,0,1,19
7,0,1,1,0,0,1,0,0,6,1,5,66
2,0,5,0,1,1,0,0,0,3,1,4,61
7,0,1,1,0,1,0,0,0,2,1,1,32
6,1,5,0,1,1,0,0,0,4,0,2,42
1,1,3,0,0,1,0,0,0,2,1,1,51
6,1,3,1,0,1,0,0,0,6,1,7,32
7,0,1,1,0,1,0,0,0,3,1,2,70
6,0,2,1,0,1,0,0,0,5,1,11,66
7,0,4,0,0,1,0,0,0,3,0,6,64
4,0,4,1,0,0,0,0,0,5,1,7,48
7,1,4,0,1,0,0,1,0,2,1,3,26
3,1,4,0,1,1,0,0,0,6,1,3,62
4,0,4,0,1,1,0,0,1,3,1,10,69
6,0,3,1,0,0,0,0,0,3,1,1,54
4,1,4,0,0,0,1,0,0,4,0,8,18
7,1,3,0,0,1,0,0,0,5,1,5,33
6,1,3,0,0,1,0,0,0,6,0,13,62
7,0,2,0,1,1,0,0,1,3,1,11,69
4,1,3,1,0,1,0,0,0,5,1,2,60
4,1,3,0,0,0,1,0,0,4,1,10,33
5,0,5,0,1,1,0,0,0,5,1,4,65
5,1,3,0,0,1,0,0,0,2,1,6,31
7,0,2,0,0,0,0,1,0,2,1,3,28
4,0,3,0,0,1,0,0,1,3,1,3,32
2,0,3,1,0,0,0,0,0,2,1,5,65
5,0,3,0,0,1,0,0,0,3,1,2,32
5,1,2,0,0,1,0,0,0,2,1,9,54
1,0,5,0,1,1,0,0,0,2,1,8,64
1,0,5,0,0,1,0,0,0,4,0,8,74
3,1,4,0,1,1,0,0,0,2,1,4,36
7,0,2,1,0,1,0,0,0,1,1,2,34
5,1,2,1,0,1,0,0,0,5,0,6,34
6,0,2,0,1,1,0,0,0,3,0,3,68
6,0,4,0,1,1,0,0,0,6,0,5,78
5,0,1,1,0,0,0,0,0,6,0,2,67
7,1,1,0,0,0,0,0,0,6,0,5,53
3,0,5,0,1,1,0,0,0,3,1,7,62
7,1,3,0,0,0,1,0,0,3,1,1,19
6,0,1,0,0,1,0,0,0,6,0,5,76
7,1,1,0,0,1,0,0,0,5,1,2,61
6,1,2,1,0,1,0,0,0,5,1,11,31
7,0,2,0,1,1,0,0,0,6,0,5,65
7,0,2,1,0,0,0,0,0,2,0,5,17
6,0,4,0,0,1,0,0,0,2,1,3,30
4,0,5,0,1,1,0,0,0,6,1,7,68
3,0,4,1,0,0,1,0,0,2,0,2,69
5,0,3,0,1,1,0,0,0,4,1,4,63
3,1,2,0,1,0,0,0,0,5,1,5,34
5,0,2,1,0,1,0,0,0,5,1,6,71
6,0,4,1,0,1,0,0,0,2,1,1,30
2,1,5,0,0,1,0,0,0,3,1,10,28
6,0,2,1,0,1,0,0,0,2,0,3,57
3,1,3,0,1,1,0,0,0,3,1,4,60
3,0,5,0,0,1,0,0,0,5,1,5,76
7,0,2,0,1,0,1,0,0,2,1,1,21
4,1,5,0,1,1,0,0,0,5,1,6,61
3,0,2,0,1,1,0,0,0,4,1,5,35
4,1,5,0,1,1,0,0,0,2,0,3,53
7,0,3,0,0,1,0,0,0,3,1,1,24
7,0,2,0,0,1,0,0,0,2,0,3,29
7,0,2,1,0,1,0,0,0,3,1,10,71
1,1,4,0,1,0,0,1,0,5,1,10,27
3,0,3,0,0,0,0,0,0,5,1,11,29
7,1,1,0,0,1,0,0,0,3,1,8,20
5,0,2,0,0,1,0,0,0,1,1,5,42
7,1,2,1,0,1,0,0,0,2,1,6,50
7,1,2,1,0,0,1,0,0,6,1,6,51
3,1,5,0,0,1,0,0,0,5,0,11,35
7,0,3,1,0,1,0,0,0,2,1,4,81
6,0,5,0,0,1,0,0,0,4,0,8,57
1,0,4,0,1,1,0,0,0,2,1,1,69
5,1,3,0,0,1,0,0,0,2,1,3,42
6,0,3,1,0,1,0,0,0,5,1,13,31
1,1,5,0,1,1,0,0,0,2,0,3,55
5,0,4,0,0,1,0,0,0,5,1,5,31
5,1,2,0,1,1,0,0,0,3,1,4,41
4,0,3,0,1,1,0,0,0,3,1,10,56
7,0,4,0,1,1,0,0,0,3,1,6,67
7,0,4,0,0,1,0,0,0,5,1,3,57
7,0,2,1,0,0,0,0,0,5,1,11,40
3,0,5,1,0,0,1,0,0,2,1,3,60
7,0,4,0,1,1,0,0,0,2,1,2,66
5,1,5,1,0,1,0,0,0,4,1,10,52
7,0,5,0,0,1,0,0,0,3,1,2,58
4,0,4,1,0,1,0,0,0,2,1,2,59
7,1,5,1,0,0,0,0,0,4,1,11,57
4,0,4,0,0,1,0,0,0,2,1,13,32
4,1,3,0,1,1,0,0,0,3,1,8,19
2,0,5,0,1,1,0,0,0,6,1,3,70
3,0,5,0,1,1,0,0,0,3,1,6,41
2,1,4,1,0,0,1,0,0,2,1,3,63
5,0,4,0,1,1,0,0,0,3,0,4,68
4,0,3,0,0,1,0,0,0,3,1,1,54
4,0,2,1,0,1,0,0,1,6,1,8,45
4,0,3,0,1,1,0,0,0,2,0,6,72
4,0,3,0,0,0,0,0,0,5,1,5,38
5,0,5,1,0,1,0,0,0,5,1,3,62
4,0,4,0,0,1,0,0,0,2,1,4,31
6,0,5,0,1,1,0,0,0,2,1,3,28
4,1,2,0,1,1,0,0,0,5,0,11,50
4,0,4,0,1,1,0,0,0,3,1,5,34
1,1,4,0,0,0,1,0,0,2,1,1,30
7,1,3,1,0,0,0,0,0,3,0,3,24
4,1,4,1,0,1,0,0,0,3,1,2,40
3,0,4,0,1,1,0,0,0,6,1,2,59
7,1,1,0,0,1,0,0,0,3,0,13,19
